解忧杂货店,8.6,(179781人评价),[日]东野圭吾/李盈春/南海出版公司/2014-5/39.50元
巨人的陨落,9.0,(13014人评价),[英]肯·福莱特/于大卫/江苏凤凰文艺出版社/2016-5-1/129.80元
追风筝的人,8.8,(254494人评价),[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2006-5/29.00元
百年孤独,9.2,(97053人评价),[哥伦比亚]加西亚·马尔克斯/范晔/南海出版公司/2011-6/39.50元
我的天才女友,8.6,(1098人评价),[意]埃莱娜·费兰特（ElenaFerrante）/陈英/人民文学出版社/2017-1/42.00元
北鸢,8.6,(2360人评价),葛亮/人民文学出版社/2016-10-1/45.00元
你一生的故事,8.7,(6231人评价),[美]特德·姜/李克勤、王荣生、姚向辉/译林出版社/2015-5/36.00元
斯通纳,8.8,(9029人评价),[美]约翰·威廉斯/杨向荣/世纪文景/上海人民出版社/2016-1/39.00元
霍乱时期的爱情,8.9,(51724人评价),[哥伦比亚]加西亚·马尔克斯/杨玲/南海出版公司/2012-9-1/39.50元
月亮和六便士,8.9,(63003人评价),[英]毛姆/傅惟慈/上海译文出版社/2006-8/15.00元
欢愉,8.9,(104人评价),[美]莉莉·金/马韧/博集天卷/湖南文艺出版社/2017-2-1/38.00元
佛罗伦萨的神女,9.0,(331人评价),[英]萨曼·鲁西迪/刘凯芳/北京燕山出版社/2017-1-1/45.00元
背对世界,8.8,(172人评价),[德]埃尔克·海登莱希/丁娜、杜新华/湖南文艺出版社/2017-1/28.80元
活着,9.1,(121728人评价),余华/南海出版公司/1998-5/12.00元
围城,8.9,(181144人评价),钱锺书/人民文学出版社/1991-2/19.00
我脑袋里的怪东西,8.6,(1386人评价),[土耳其]奥尔罕·帕慕克/陈竹冰/上海人民出版社/2016-2/49.00元
1984,9.3,(29327人评价),[英]乔治·奥威尔/刘绍铭/北京十月文艺出版社/2010-4-1/28.00元
毒木圣经,8.4,(82人评价),[美]芭芭拉·金索沃/张竝/南海出版公司/2017-3/59.00元
杀死一只知更鸟,9.2,(7591人评价),[美]哈珀·李/高红梅/译林出版社/2012-9/32.00元
平凡的世界（全三部）,9.0,(94686人评价),路遥/人民文学出版社/2005-1/64.00元
不属于我们的世纪,8.7,(994人评价),[美]马修·托马斯/黄瑶/广西科学技术出版社/2016-9-1/46.00元
金色梦乡,9.0,(9285人评价),[日]伊坂幸太郎/李彦桦/译林出版社/2010-9/35.00元
直到那一天,8.2,(683人评价),[法]米歇尔·普西/梁若瑜/湖南文艺出版社/2016-12/39.00元
无常店,8.8,(49人评价),温酒/湖南文艺出版社/2017-1/38.00
刀锋,9.0,(22867人评价),[英]毛姆/周煦良/上海译文出版社/2007-3/18.00
渴望风流,9.2,(133人评价),[美]欧文·斯通/刘绯、褚律元/长江文艺出版社/2017-1/58.00元
大裂,8.6,(361人评价),胡迁/九州出版社/2017-1/35.00元
有匪1,9.0,(2054人评价),priest/湖南文艺出版社/2016-11/35.00元
卡拉马佐夫兄弟,9.3,(6473人评价),[俄]陀思妥耶夫斯基/荣如德/上海译文出版社/2006-8/25.00
局外人,9.0,(21086人评价),[法]阿尔贝·加缪/柳鸣九/上海译文出版社/2010-9/22.00元
S.,8.2,(2045人评价),[美]J.J.艾布拉姆斯、[美]道格·道斯特/颜湘如/中信出版集团/2016-6-6/168.00元
人生的枷锁,9.0,(10863人评价),[英]毛姆/张柏然、张增健、倪俊/上海译文出版社/2007-3/32.00元
无声告白,8.2,(34048人评价),[美]伍绮诗/孙璐/江苏凤凰文艺出版社/2015-7/35.00元
夜莺,9.2,(196人评价),[美]克里斯汀·汉娜/黄瑶/四川人民出版社/2016-11/38.00元
夜色人生,8.6,(1172人评价),[美]丹尼斯·勒翰/尤传莉/江苏凤凰文艺出版社/2016-10-15/49.90元
白拉姆客栈,9.4,(82人评价),宋晓俐/台海出版社/2017-1/39.8
漫长的中场休息,8.1,(1642人评价),[美]本·方登/张晓意/南海出版公司/2016-11-1/45.00元
岛上书店,7.7,(52985人评价),[美]加布瑞埃拉·泽文/孙仲旭、李玉瑶/江苏凤凰文艺出版社/2015-5/CNY35.00
