神经网络设计,8.8,戴葵/戴葵、李伯民审校/机械工业出版社/2007-09-01/49.0
神经网络与机器学习（原书第3版）,8.2,[加]SimonHaykin/申富饶、徐烨、郑俊、晁静/机械工业出版社/2011-3/79.00元
意识的宇宙,8.4,[美]杰拉尔德·埃德尔曼、[美]朱利欧·托诺尼/顾凡及/上海科学技术出版社/2004-1/27.00元
Neural Networks and Deep Learning,9.2,2016-1
MATLAB神经网络30个案例分析,7.8,MATLAB中文论坛/北京航空航天大学/2010-4/39.00元
Neural Networks for Pattern Recognition,8.8,ChristopherM.Bishop/OxfordUniversityPress/1996-1-18/USD105.00
神经网络与深度学习,6.4,吴岸城/电子工业出版社/2016-6/59
神经网络在应用科学和工程中的应用,8.2,萨马拉辛荷/2010-1/88.00元
神经网络模型及其MATLAB仿真程序设计,8.0,周开利康耀红/清华大学出版社/2005-7/29.00元
模式识别与神经网络,7.6,里普利/人民邮电/2009-6/69.00元
Neural Networks,7.5,GrégoireMontavon、GenevièveOrr、Klaus-RobertMüller/Springer/2013-11-6/USD131.00
神经网络,7.5,[印度]SatishKumar/清华大学出版社/2006-8/73.00元
神经计算原理,8.6,哈姆/机械工业出版社/2007-5/59.00元
MATLAB神经网络原理与实例精解,7.4,陈明/清华大学出版社/2013-2/69.00元
人工神经网络教程,7.1,韩力群/北京邮电大学出版社/2006-12/36.00元
人工神经网络与模拟进化计算,7.1,阎平凡/清华大学出版社/2005-9/49.00元
数据挖掘,7.1,朱明/2008-11/52.00元
Matlab神经网络与应用,7.9,董长虹/国防工业出版社/2005-1-1/29.00
神经网络理论与MATLAB7实现,7.4,飞思科技产品研发中心//2005-3-1/29.00元
人工神经网络原理及仿真实例,7.9,高隽/机械工业出版社/2003-8/23.00元
神经网络理论与MATLAB R2007实现,7.1,葛哲学/电子工业/2007-9/29.80元
细胞神经网络动力学,5.9,黄立宏/科学/2007-4/45.00元
神经网络与教育,8.4,[美]杨振寰/许晨、周立伟/北京理工大学出版社/2015-6-1
